Date,SUB-ASSET,PDP Wells Online,PDP Wellhead Prod - Oil (MBbl),PDP Wellhead Prod - Gas (MMcf),PDP WI Prod - NGL - All Streams (MBbl),PDP Wellhead Prod - Water (MBbl),PDP NRI Prod - Oil (MBbl),PDP NRI Prod - Residue Gas - All (MMcf),PDP NRI Prod - NGL - All Streams (MBbl),PDP Opex ($k),Infrastructure / Other Capex,Capex From Prior Periods,BOP Working Capital Balance,Rig Mob / Demob,infra input,agl_opex_per_well_k
44135,Farmar,109,181.6561405,983.0705833,132.7145287,498.4030146,136.1356157,552.5449847,99.45809725,1102.367068,0,10136.43562,0,0,0,11.62
44165,Farmar,109,194.706153,976.067529,131.7691164,366.502446,145.915475,548.6088456,98.74959221,1023.754406,500,0,0,0,500,11.62
44196,Farmar,109,200.5704154,1016.851503,137.274953,306.2019823,150.3102341,571.5319001,102.875742,1010.645929,500,0,0,0,500,11.62
44227,Farmar,109,179.016537,979.274345,132.2020366,318.302668,134.1574605,550.4112697,99.07402855,910.3224892,437.5,0,0,0,437.5,7.25
44255,Farmar,109,136,799.769,107.968815,259.144648,101.9202747,449.5184348,80.91331826,811.2785502,437.5,,0,0,437.5,7.25
44286,Farmar,109,165.858,1076.021937,145.2629614,262.9086905,124.2962715,604.7892538,108.8620657,888.882127,437.5,,0,0,437.5,7.25
44316,Farmar,113,147.98112,981.4242,132.492267,380.1273,110.8990912,551.6196179,99.29153123,983.6988137,437.5,0,0,0,437.5,7.25
44347,Farmar,113,181.0435805,997.04773,134.6014436,390.79561,135.6765548,560.4009845,100.8721772,976.3269368,187.5,0,0,0,187.5,7.25
44377,Farmar,113,184.55517,964.1541,130.1608035,312.981015,138.3081884,541.9127797,97.54430034,926.2162486,187.5,0,0,0,187.5,7.25
44408,Farmar,113,160.4637858,1192.414471,149.0518089,261.1629421,120.253773,643.400526,111.7014802,960.9294605,187.5,0,0,0,187.5,7.25
44439,Farmar,113,150.3812175,1161.386095,145.1732619,234.0640108,112.6977574,626.6582991,108.7948436,949.1958515,187.5,0,0,0,187.5,7.25
44469,Farmar,113,138.5907086,1136.702665,142.0878331,207.2706821,103.8617874,613.339665,106.4825807,910.1168242,187.5,0,0,0,187.5,7.25
44500,Farmar,113,137.3029082,1157.471318,144.6839147,198.5321084,102.8966921,624.5459716,108.4281201,923.2764513,187.5,0,0,0,187.5,7.25
