Date,SUB-ASSET,Oil Revenue - TOTAL,Gas Revenue - TOTAL,NGL Revenue - TOTAL,Company Revenue - TOTAL,Hedges,Revenue net of Hedges,Sev Taxes,Ad Val Taxes,Production Taxes - TOTAL,Operating Expenses,Midstream / Marketing Expenses,SG&A,EBITDAX,Interest Exp,TTM EBITDAX,1L Debt,2L Debt,BS Cash,Net Debt,Net Leverage ,Mezz Pref,Pref Equity - Class A,Common Equity - Class B,Borrowing Base
43131,"Munson, FORE ONLY, FORE FULL",,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,
43159,"Munson, FORE ONLY, FORE FULL",,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,
43190,"Munson, FORE ONLY, FORE FULL",,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,
43220,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
43251,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
43281,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
43312,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
43343,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
43373,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
43404,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
43434,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
43465,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
43496,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,2916.666667,0,2916.666667,0,0,0,0,0,0,0,0,0
43524,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,2916.666667,0,5833.333333,0,0,0,0,0,0,0,0,0
43555,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,1320,0,7153.333333,0,0,0,0,0,0,0,0,0
43585,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,1320,0,8473.333333,0,0,0,0,0,0,0,0,0
43616,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,1320,0,9793.333333,0,0,0,0,0,0,0,0,0
43646,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,1320,0,11113.33333,0,0,0,0,0,0,0,0,0
43677,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,910.9492555,0,12024.28259,0,0,0,0,0,0,0,0,0
43708,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,469.072861,0,12493.35545,0,0,0,0,0,0,0,0,0
43738,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,872.645726,0,13366.00118,0,0,0,0,0,0,0,0,0
43769,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,1308.481794,0,14674.48297,0,0,0,0,0,0,0,0,0
43799,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,1410.282304,0,16084.76527,0,0,0,0,0,0,0,0,0
43830,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,1347.004141,0,17431.76942,0,0,0,0,0,0,0,0,0
43861,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,1019.613844,0,15534.71659,0,0,0,0,0,0,0,0,0
43890,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,716.7543025,0,13334.80423,0,0,0,0,0,0,0,0,0
43921,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,236.3208371,0,12251.12507,0,0,0,0,0,0,0,0,0
43951,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,60.73763709,0,10991.8627,0,0,0,0,0,0,0,0,0
43982,"Munson, FORE ONLY, FORE FULL",0,0,0,0,0,0,0,0,0,0,,0,99.39917136,0,9771.261874,0,0,0,0,0,0,0,0,0
